time (s),voltage (V),current (A)
0,0.05,1.066e-08
0.0923850518489532,0.07,1.559e-08
0.184770103697907,0.09,2.153e-08
0.27715515554686,0.11,2.837e-08
0.369540207395813,0.13,3.687e-08
0.461925259244766,0.15,4.689e-08
0.55431031109372,0.17,5.894e-08
0.646695362942673,0.19,7.333e-08
0.739080414791626,0.21,9.076e-08
0.831465466640579,0.23,1.112e-07
0.923850518489533,0.25,1.352e-07
1.01623557033849,0.27,1.636e-07
1.10862062218744,0.29,1.968e-07
1.20100567403639,0.31,2.361e-07
1.29339072588535,0.33,2.819e-07
1.3857757777343,0.35,3.358e-07
1.47816082958325,0.37,3.97e-07
1.57054588143221,0.39,4.689e-07
1.66293093328116,0.41,5.526e-07
1.75531598513011,0.43,6.475e-07
1.84770103697906,0.45,7.583e-07
1.94008608882802,0.47,8.849e-07
2.03247114067697,0.49,1.029e-06
2.12485619252592,0.51,1.196e-06
2.21724124437488,0.53,1.386e-06
2.30962629622383,0.55,1.605e-06
2.40201134807278,0.57,1.858e-06
2.49439639992174,0.59,2.14e-06
2.58678145177069,0.61,2.467e-06
2.67916650361964,0.63,2.835e-06
2.7715515554686,0.65,3.248e-06
2.86393660731755,0.67,3.724e-06
2.9563216591665,0.69,4.259e-06
3.04870671101546,0.71,4.871e-06
3.14109176286441,0.73,5.727e-06
3.23347681471336,0.75,6.475e-06
3.32586186656232,0.77,7.329e-06
3.41824691841127,0.79,8.27e-06
3.51063197026022,0.81,9.343e-06
3.60301702210918,0.83,1.053e-05
3.69540207395813,0.85,1.187e-05
3.78778712580708,0.87,1.337e-05
3.88017217765604,0.89,1.503e-05
3.97255722950499,0.91,1.688e-05
4.06494228135394,0.93,1.892e-05
4.1573273332029,0.95,2.12e-05
4.24971238505185,0.97,2.37e-05
4.3420974369008,0.99,2.645e-05
4.43448248874976,1.01,2.95e-05
4.52686754059871,1.03,3.284e-05
4.61925259244766,1.05,3.644e-05
4.71163764429662,1.07,4.042e-05
4.80402269614557,1.09,4.468e-05
4.89640774799452,1.11,4.937e-05
4.98879279984348,1.13,5.518e-05
5.08117785169243,1.15,6.037e-05
5.17356290354138,1.17,6.598e-05
5.26594795539033,1.19,7.205e-05
5.35833300723929,1.21,7.863e-05
5.45071805908824,1.23,8.563e-05
5.54310311093719,1.25,9.306e-05
5.63548816278615,1.27,0.0001009
5.7278732146351,1.29,0.0001094
5.82025826648405,1.31,0.0001182
5.91264331833301,1.33,0.0001275
6.00502837018196,1.35,0.0001374
6.09741342203091,1.37,0.0001476
6.18979847387987,1.39,0.0001584
6.28218352572882,1.41,0.0001695
6.37456857757777,1.43,0.000181
6.46695362942673,1.45,0.0001929
6.55933868127568,1.47,0.0002053
6.65172373312463,1.49,0.0002179
6.74410878497359,1.51,0.000231
6.83649383682254,1.53,0.0002443
6.92887888867149,1.55,0.000258
7.02126394052045,1.57,0.0002718
7.1136489923694,1.59,0.0002859
7.20603404421835,1.61,0.0002999
7.29841909606731,1.63,0.0003144
7.39080414791626,1.65,0.0003289
7.48318919976521,1.67,0.0003434
7.57557425161417,1.69,0.000358
7.66795930346312,1.71,0.0003727
7.76034435531207,1.73,0.0003871
7.85272940716103,1.75,0.0004017
7.94511445900998,1.77,0.0004162
8.03749951085893,1.79,0.0004303
8.12988456270789,1.81,0.0004444
8.22226961455684,1.83,0.0004582
8.31465466640579,1.85,0.0004716
8.40703971825475,1.87,0.0004847
8.4994247701037,1.89,0.0004976
8.59180982195265,1.91,0.0004827
8.68419487380161,1.93,0.0004953
8.77657992565056,1.95,0.0005078
8.86896497749951,1.97,0.0005198
8.96135002934846,1.99,0.0005314
9.05373508119742,1.99,0.0005192
9.14612013304637,1.97,0.0004857
9.23850518489533,1.95,0.000455
9.33089023674428,1.93,0.0004268
9.42327528859323,1.91,0.0004004
9.51566034044219,1.89,0.000363
9.60804539229114,1.87,0.0003415
9.70043044414009,1.85,0.0003215
9.79281549598904,1.83,0.0003024
9.885200547838,1.81,0.0002845
9.97758559968695,1.79,0.0002678
10.0699706515359,1.77,0.000252
10.1623557033849,1.75,0.000237
10.2547407552338,1.73,0.0002229
10.3471258070828,1.71,0.0002095
10.4395108589317,1.69,0.0001969
10.5318959107807,1.67,0.0001849
10.6242809626296,1.65,0.0001736
10.7166660144786,1.63,0.0001629
10.8090510663275,1.61,0.0001527
10.9014361181765,1.59,0.0001431
10.9938211700254,1.57,0.000134
11.0862062218744,1.55,0.0001253
11.1785912737233,1.53,0.0001173
11.2709763255723,1.51,0.0001095
11.3633613774213,1.49,0.0001023
11.4557464292702,1.47,9.535e-05
11.5481314811192,1.45,8.891e-05
11.6405165329681,1.43,8.28e-05
11.7329015848171,1.41,7.702e-05
11.825286636666,1.39,7.159e-05
11.917671688515,1.37,6.644e-05
12.0100567403639,1.35,6.163e-05
12.1024417922129,1.33,5.711e-05
12.1948268440618,1.31,5.286e-05
12.2872118959108,1.29,4.889e-05
12.3795969477597,1.27,4.519e-05
12.4719819996087,1.25,4.17e-05
12.5643670514576,1.23,3.822e-05
12.6567521033066,1.21,3.524e-05
12.7491371551555,1.19,3.243e-05
12.8415222070045,1.17,2.98e-05
12.9339072588535,1.15,2.736e-05
13.0262923107024,1.13,2.509e-05
13.1186773625514,1.11,2.299e-05
13.2110624144003,1.09,2.103e-05
13.3034474662493,1.07,1.92e-05
13.3958325180982,1.05,1.752e-05
13.4882175699472,1.03,1.596e-05
13.5806026217961,1.01,1.452e-05
13.6729876736451,0.99,1.319e-05
13.765372725494,0.97,1.198e-05
13.857757777343,0.95,1.087e-05
13.9501428291919,0.93,9.821e-06
14.0425278810409,0.91,8.889e-06
14.1349129328898,0.89,8.028e-06
14.2272979847388,0.87,7.231e-06
14.3196830365878,0.85,6.511e-06
14.4120680884367,0.83,5.849e-06
14.5044531402857,0.81,5.242e-06
14.5968381921346,0.79,4.702e-06
14.6892232439836,0.77,4.202e-06
14.7816082958325,0.75,3.72e-06
14.8739933476815,0.73,3.324e-06
14.9663783995304,0.71,2.961e-06
15.0587634513794,0.69,2.637e-06
15.1511485032283,0.67,2.345e-06
15.2435335550773,0.65,2.075e-06
15.3359186069262,0.63,1.839e-06
15.4283036587752,0.61,1.623e-06
15.5206887106241,0.59,1.431e-06
15.6130737624731,0.57,1.261e-06
15.7054588143221,0.55,1.108e-06
15.797843866171,0.53,9.683e-07
15.89022891802,0.51,8.477e-07
15.9826139698689,0.49,7.401e-07
16.0749990217179,0.47,6.436e-07
16.1673840735668,0.45,5.596e-07
16.2597691254158,0.43,4.839e-07
16.3521541772647,0.41,4.184e-07
16.4445392291137,0.39,3.547e-07
16.5369242809626,0.37,3.048e-07
16.6293093328116,0.35,2.605e-07
16.7216943846605,0.33,2.22e-07
16.8140794365095,0.31,1.886e-07
16.9064644883584,0.29,1.586e-07
16.9988495402074,0.27,1.339e-07
17.0912345920564,0.25,1.123e-07
17.1836196439053,0.23,9.392e-08
17.2760046957543,0.21,7.734e-08
17.3683897476032,0.19,6.314e-08
17.4607747994522,0.17,5.157e-08
17.5531598513011,0.15,4.148e-08
17.6455449031501,0.13,3.219e-08
17.737929954999,0.11,2.527e-08
17.830315006848,0.09,1.909e-08
17.9227000586969,0.07,1.394e-08
18.0150851105459,0.05,9.436e-09
18.5693954216396,0.06,1.005e-08
18.6617804734886,0.08,1.417e-08
18.7541655253375,0.1,1.895e-08
18.8465505771865,0.12,2.484e-08
18.9389356290354,0.14,3.173e-08
19.0313206808844,0.16,3.958e-08
19.1237057327333,0.18,4.942e-08
19.2160907845823,0.2,6.11e-08
19.3084758364312,0.22,7.48e-08
19.4008608882802,0.24,9.025e-08
19.4932459401291,0.26,1.088e-07
19.5856309919781,0.28,1.306e-07
19.678016043827,0.3,1.554e-07
19.770401095676,0.32,1.848e-07
19.8627861475249,0.34,2.181e-07
19.9551711993739,0.36,2.571e-07
20.0475562512229,0.38,3.013e-07
20.1399413030718,0.4,3.516e-07
20.2323263549208,0.42,4.106e-07
20.3247114067697,0.44,4.787e-07
20.4170964586187,0.46,5.573e-07
20.5094815104676,0.48,6.452e-07
20.6018665623166,0.5,7.444e-07
20.6942516141655,0.52,8.569e-07
20.7866366660145,0.54,9.867e-07
20.8790217178634,0.56,1.13e-06
20.9714067697124,0.58,1.293e-06
21.0637918215613,0.6,1.482e-06
21.1561768734103,0.62,1.691e-06
21.2485619252592,0.64,1.927e-06
21.3409469771082,0.66,2.19e-06
21.4333320289572,0.68,2.485e-06
21.5257170808061,0.7,2.817e-06
21.6181021326551,0.72,3.184e-06
21.710487184504,0.74,3.595e-06
21.802872236353,0.76,4.047e-06
21.8952572882019,0.78,4.569e-06
21.9876423400509,0.8,5.155e-06
22.0800273918998,0.82,5.775e-06
22.1724124437488,0.84,6.45e-06
22.2647974955977,0.86,7.207e-06
22.3571825474467,0.88,8.039e-06
22.4495675992956,0.9,8.953e-06
22.5419526511446,0.92,9.94e-06
22.6343377029935,0.94,1.104e-05
22.7267227548425,0.96,1.223e-05
22.8191078066915,0.98,1.354e-05
22.9114928585404,1,1.496e-05
23.0038779103894,1.02,1.652e-05
23.0962629622383,1.04,1.821e-05
23.1886480140873,1.06,2.003e-05
23.2810330659362,1.08,2.199e-05
23.3734181177852,1.1,2.412e-05
23.4658031696341,1.12,2.641e-05
23.5581882214831,1.14,2.89e-05
23.650573273332,1.16,3.155e-05
23.742958325181,1.18,3.439e-05
23.8353433770299,1.2,3.744e-05
23.9277284288789,1.22,4.067e-05
24.0201134807278,1.24,4.414e-05
24.1124985325768,1.26,4.786e-05
24.2048835844258,1.28,5.15e-05
24.2972686362747,1.3,5.561e-05
24.3896536881237,1.32,5.999e-05
24.4820387399726,1.34,6.465e-05
24.5744237918216,1.36,6.957e-05
